Date,Time,heart rate variability
2025.11.03 00:35:39,00:35:39,75.0
2025.11.03 00:40:39,00:40:39,59.0
2025.11.03 00:45:39,00:45:39,65.0
2025.11.03 00:50:39,00:50:39,72.0
2025.11.03 00:55:39,00:55:39,73.0
2025.11.03 01:00:39,01:00:39,74.0
2025.11.03 01:05:39,01:05:39,62.0
2025.11.03 01:10:39,01:10:39,54.0
2025.11.03 01:15:39,01:15:39,67.0
2025.11.03 01:20:39,01:20:39,58.0
2025.11.03 01:25:39,01:25:39,54.0
2025.11.03 01:30:39,01:30:39,52.0
2025.11.03 01:35:39,01:35:39,60.0
2025.11.03 01:40:39,01:40:39,63.0
2025.11.03 01:45:39,01:45:39,73.0
2025.11.03 01:50:39,01:50:39,56.0
2025.11.03 01:55:39,01:55:39,60.0
2025.11.03 02:00:39,02:00:39,56.0
2025.11.03 02:05:39,02:05:39,45.0
2025.11.03 02:10:39,02:10:39,75.0
2025.11.03 02:15:39,02:15:39,87.0
2025.11.03 02:20:39,02:20:39,65.0
2025.11.03 02:25:39,02:25:39,83.0
2025.11.03 02:30:39,02:30:39,90.0
2025.11.03 02:35:39,02:35:39,54.0
2025.11.03 02:40:39,02:40:39,50.0
2025.11.03 02:45:39,02:45:39,79.0
2025.11.03 02:50:39,02:50:39,86.0
2025.11.03 02:55:39,02:55:39,77.0
2025.11.03 03:00:39,03:00:39,79.0
2025.11.03 03:05:39,03:05:39,85.0
2025.11.03 03:10:39,03:10:39,81.0
2025.11.03 03:15:39,03:15:39,76.0
2025.11.03 03:20:39,03:20:39,75.0
2025.11.03 03:25:39,03:25:39,74.0
2025.11.03 03:30:39,03:30:39,75.0
2025.11.03 03:35:39,03:35:39,70.0
2025.11.03 03:40:39,03:40:39,89.0
2025.11.03 03:45:39,03:45:39,67.0
2025.11.03 03:50:39,03:50:39,75.0
2025.11.03 03:55:39,03:55:39,71.0
2025.11.03 04:00:39,04:00:39,79.0
2025.11.03 04:05:39,04:05:39,76.0
2025.11.03 04:10:39,04:10:39,69.0
2025.11.03 04:15:39,04:15:39,76.0
2025.11.03 04:20:39,04:20:39,41.0
2025.11.03 04:25:39,04:25:39,45.0
2025.11.03 04:30:39,04:30:39,71.0
2025.11.03 04:35:39,04:35:39,63.0
2025.11.03 04:40:39,04:40:39,64.0
2025.11.03 04:45:39,04:45:39,56.0
2025.11.03 04:50:39,04:50:39,77.0
2025.11.03 04:55:39,04:55:39,67.0
2025.11.03 05:00:39,05:00:39,59.0
2025.11.03 05:05:39,05:05:39,58.0
2025.11.03 05:10:39,05:10:39,48.0
2025.11.03 05:15:39,05:15:39,53.0
2025.11.03 05:20:39,05:20:39,84.0
2025.11.03 05:25:39,05:25:39,55.0
2025.11.03 05:30:39,05:30:39,58.0
2025.11.03 05:35:39,05:35:39,56.0
2025.11.03 05:40:39,05:40:39,53.0
2025.11.03 05:45:39,05:45:39,72.0
2025.11.03 05:50:39,05:50:39,70.0
2025.11.03 05:55:39,05:55:39,66.0
2025.11.03 06:00:39,06:00:39,68.0
2025.11.03 06:05:39,06:05:39,63.0
2025.11.03 06:10:39,06:10:39,58.0
2025.11.03 06:15:39,06:15:39,68.0
2025.11.03 06:20:39,06:20:39,52.0
2025.11.03 06:25:39,06:25:39,85.0
2025.11.03 06:30:39,06:30:39,75.0
2025.11.03 06:35:39,06:35:39,66.0
2025.11.03 06:40:39,06:40:39,67.0
2025.11.03 06:45:39,06:45:39,57.0
2025.11.03 06:50:39,06:50:39,41.0
2025.11.03 22:10:40,22:10:40,64.0
2025.11.03 22:15:40,22:15:40,67.0
2025.11.03 22:20:40,22:20:40,62.0
2025.11.03 22:25:40,22:25:40,66.0
2025.11.03 22:30:40,22:30:40,67.0
2025.11.03 22:35:40,22:35:40,75.0
2025.11.03 22:40:40,22:40:40,58.0
2025.11.03 23:00:40,23:00:40,67.0
2025.11.03 23:10:40,23:10:40,57.0
2025.11.03 23:15:40,23:15:40,86.0
2025.11.03 23:20:40,23:20:40,60.0
2025.11.03 23:25:40,23:25:40,60.0
2025.11.03 23:30:40,23:30:40,66.0
2025.11.03 23:35:40,23:35:40,72.0
2025.11.03 23:40:40,23:40:40,62.0
2025.11.03 23:45:40,23:45:40,66.0
2025.11.03 23:50:40,23:50:40,58.0
2025.11.03 23:55:40,23:55:40,54.0
