Date,Time,Heart rate
2024.12.29 00.00,00.00,66
2024.12.29 00.00,00.00,59
2024.12.29 00.00,00.00,59
2024.12.29 00.00,00.00,59
2024.12.29 00.01,00.01,59
2024.12.29 00.01,00.01,59
2024.12.29 00.01,00.01,59
2024.12.29 00.01,00.01,59
2024.12.29 00.02,00.02,59
2024.12.29 00.02,00.02,61
2024.12.29 00.02,00.02,61
2024.12.29 00.02,00.02,61
2024.12.29 00.03,00.03,61
2024.12.29 00.03,00.03,61
2024.12.29 00.03,00.03,61
2024.12.29 00.03,00.03,61
2024.12.29 00.04,00.04,61
2024.12.29 00.04,00.04,61
2024.12.29 00.04,00.04,61
2024.12.29 00.04,00.04,61
2024.12.29 00.05,00.05,61
2024.12.29 00.05,00.05,61
2024.12.29 00.05,00.05,61
2024.12.29 00.05,00.05,61
2024.12.29 00.06,00.06,61
2024.12.29 00.06,00.06,60
2024.12.29 00.06,00.06,60
2024.12.29 00.06,00.06,60
2024.12.29 00.07,00.07,60
2024.12.29 00.07,00.07,63
2024.12.29 00.07,00.07,63
2024.12.29 00.07,00.07,63
2024.12.29 00.08,00.08,63
2024.12.29 00.08,00.08,61
2024.12.29 00.08,00.08,61
2024.12.29 00.08,00.08,61
2024.12.29 00.09,00.09,61
2024.12.29 00.09,00.09,60
2024.12.29 00.09,00.09,60
2024.12.29 00.09,00.09,60
2024.12.29 00.10,00.10,60
2024.12.29 00.10,00.10,61
2024.12.29 00.10,00.10,61
2024.12.29 00.10,00.10,61
2024.12.29 00.11,00.11,61
2024.12.29 00.11,00.11,61
2024.12.29 00.11,00.11,61
2024.12.29 00.11,00.11,61
2024.12.29 00.12,00.12,61
2024.12.29 00.12,00.12,59
2024.12.29 00.12,00.12,59
2024.12.29 00.12,00.12,59
2024.12.29 00.13,00.13,59
2024.12.29 00.13,00.13,61
2024.12.29 00.13,00.13,61
2024.12.29 00.13,00.13,61
2024.12.29 00.14,00.14,61
2024.12.29 00.14,00.14,61
2024.12.29 00.14,00.14,61
2024.12.29 00.14,00.14,61
2024.12.29 00.15,00.15,61
2024.12.29 00.15,00.15,63
2024.12.29 00.15,00.15,63
2024.12.29 00.15,00.15,63
2024.12.29 00.16,00.16,63
2024.12.29 00.16,00.16,59
2024.12.29 00.16,00.16,59
2024.12.29 00.16,00.16,59
2024.12.29 00.17,00.17,59
2024.12.29 00.17,00.17,61
2024.12.29 00.17,00.17,61
2024.12.29 00.17,00.17,61
2024.12.29 00.18,00.18,61
2024.12.29 00.18,00.18,62
2024.12.29 00.18,00.18,62
2024.12.29 00.18,00.18,62
2024.12.29 00.19,00.19,62
2024.12.29 00.19,00.19,61
2024.12.29 00.19,00.19,61
2024.12.29 00.19,00.19,61
2024.12.29 00.20,00.20,61
2024.12.29 00.20,00.20,61
2024.12.29 00.20,00.20,61
2024.12.29 00.20,00.20,61
2024.12.29 00.21,00.21,61
2024.12.29 00.21,00.21,63
2024.12.29 00.21,00.21,63
2024.12.29 00.21,00.21,63
2024.12.29 00.22,00.22,63
2024.12.29 00.22,00.22,63
2024.12.29 00.22,00.22,63
2024.12.29 00.22,00.22,63
2024.12.29 00.23,00.23,63
2024.12.29 00.23,00.23,61
2024.12.29 00.23,00.23,61
2024.12.29 00.23,00.23,61
2024.12.29 00.24,00.24,61
2024.12.29 00.24,00.24,61
2024.12.29 00.24,00.24,61
2024.12.29 00.24,00.24,61
2024.12.29 00.25,00.25,61
2024.12.29 00.25,00.25,63
2024.12.29 00.25,00.25,63
2024.12.29 00.25,00.25,63
2024.12.29 00.26,00.26,63
2024.12.29 00.26,00.26,63
2024.12.29 00.26,00.26,63
2024.12.29 00.26,00.26,63
2024.12.29 00.27,00.27,63
2024.12.29 00.27,00.27,64
2024.12.29 00.27,00.27,64
2024.12.29 00.27,00.27,64
2024.12.29 00.28,00.28,64
2024.12.29 00.28,00.28,63
2024.12.29 00.28,00.28,63
2024.12.29 00.28,00.28,63
2024.12.29 00.29,00.29,63
2024.12.29 00.29,00.29,63
2024.12.29 00.29,00.29,63
2024.12.29 00.29,00.29,63
2024.12.29 00.30,00.30,63
2024.12.29 00.30,00.30,63
2024.12.29 00.30,00.30,63
2024.12.29 00.30,00.30,63
2024.12.29 00.31,00.31,63
2024.12.29 00.31,00.31,64
2024.12.29 00.31,00.31,64
2024.12.29 00.31,00.31,64
2024.12.29 00.32,00.32,64
2024.12.29 00.32,00.32,64
2024.12.29 00.32,00.32,64
2024.12.29 00.32,00.32,64
2024.12.29 00.33,00.33,64
2024.12.29 00.33,00.33,64
2024.12.29 00.33,00.33,64
2024.12.29 00.33,00.33,64
2024.12.29 00.34,00.34,64
2024.12.29 00.34,00.34,65
2024.12.29 00.34,00.34,65
2024.12.29 00.34,00.34,65
2024.12.29 00.35,00.35,65
2024.12.29 00.35,00.35,68
2024.12.29 00.35,00.35,68
2024.12.29 00.35,00.35,68
2024.12.29 00.36,00.36,68
2024.12.29 00.36,00.36,71
2024.12.29 00.36,00.36,71
2024.12.29 00.36,00.36,71
2024.12.29 00.37,00.37,71
2024.12.29 00.37,00.37,75
2024.12.29 00.37,00.37,75
2024.12.29 00.37,00.37,75
2024.12.29 00.38,00.38,75
2024.12.29 00.38,00.38,59
2024.12.29 00.38,00.38,59
2024.12.29 00.38,00.38,59
2024.12.29 00.39,00.39,59
2024.12.29 00.39,00.39,59
2024.12.29 00.39,00.39,59
2024.12.29 00.39,00.39,59
2024.12.29 00.40,00.40,59
2024.12.29 00.40,00.40,57
2024.12.29 00.40,00.40,57
2024.12.29 00.40,00.40,57
2024.12.29 00.41,00.41,57
2024.12.29 00.41,00.41,59
2024.12.29 00.41,00.41,59
2024.12.29 00.41,00.41,59
2024.12.29 00.42,00.42,59
2024.12.29 00.42,00.42,60
2024.12.29 00.42,00.42,60
2024.12.29 00.42,00.42,60
2024.12.29 00.43,00.43,60
2024.12.29 00.43,00.43,57
2024.12.29 00.43,00.43,57
2024.12.29 00.43,00.43,57
2024.12.29 00.44,00.44,57
2024.12.29 00.44,00.44,61
2024.12.29 00.44,00.44,61
