Date,Time,Heart rate
2024.12.16 00.00,00.00,49
2024.12.16 00.00,00.00,50
2024.12.16 00.00,00.00,50
2024.12.16 00.00,00.00,50
2024.12.16 00.01,00.01,50
2024.12.16 00.01,00.01,50
2024.12.16 00.01,00.01,50
2024.12.16 00.01,00.01,50
2024.12.16 00.02,00.02,50
2024.12.16 00.02,00.02,52
2024.12.16 00.02,00.02,52
2024.12.16 00.02,00.02,52
2024.12.16 00.03,00.03,52
2024.12.16 00.03,00.03,50
2024.12.16 00.03,00.03,50
2024.12.16 00.03,00.03,50
2024.12.16 00.04,00.04,50
2024.12.16 00.04,00.04,50
2024.12.16 00.04,00.04,50
2024.12.16 00.04,00.04,50
2024.12.16 00.05,00.05,50
2024.12.16 00.05,00.05,50
2024.12.16 00.05,00.05,50
2024.12.16 00.05,00.05,50
2024.12.16 00.06,00.06,50
2024.12.16 00.06,00.06,53
2024.12.16 00.06,00.06,53
2024.12.16 00.06,00.06,53
2024.12.16 00.07,00.07,53
2024.12.16 00.07,00.07,60
2024.12.16 00.07,00.07,60
2024.12.16 00.07,00.07,60
2024.12.16 00.08,00.08,60
2024.12.16 00.08,00.08,54
2024.12.16 00.08,00.08,54
2024.12.16 00.08,00.08,54
2024.12.16 00.09,00.09,54
2024.12.16 00.09,00.09,59
2024.12.16 00.09,00.09,59
2024.12.16 00.09,00.09,59
2024.12.16 00.10,00.10,59
2024.12.16 00.10,00.10,56
2024.12.16 00.10,00.10,56
2024.12.16 00.10,00.10,56
2024.12.16 00.11,00.11,56
2024.12.16 00.11,00.11,51
2024.12.16 00.11,00.11,51
2024.12.16 00.11,00.11,51
2024.12.16 00.12,00.12,51
2024.12.16 00.12,00.12,52
2024.12.16 00.12,00.12,52
2024.12.16 00.12,00.12,52
2024.12.16 00.13,00.13,52
2024.12.16 00.13,00.13,55
2024.12.16 00.13,00.13,55
2024.12.16 00.13,00.13,55
2024.12.16 00.14,00.14,55
2024.12.16 00.14,00.14,61
2024.12.16 00.14,00.14,61
2024.12.16 00.14,00.14,61
2024.12.16 00.15,00.15,61
2024.12.16 00.15,00.15,60
2024.12.16 00.15,00.15,60
2024.12.16 00.15,00.15,60
2024.12.16 00.16,00.16,60
2024.12.16 00.16,00.16,65
2024.12.16 00.16,00.16,65
2024.12.16 00.16,00.16,65
2024.12.16 00.17,00.17,65
2024.12.16 00.17,00.17,66
2024.12.16 00.17,00.17,66
2024.12.16 00.17,00.17,66
2024.12.16 00.18,00.18,66
2024.12.16 00.18,00.18,64
2024.12.16 00.18,00.18,64
2024.12.16 00.18,00.18,64
2024.12.16 00.19,00.19,64
2024.12.16 00.19,00.19,62
2024.12.16 00.19,00.19,62
2024.12.16 00.19,00.19,62
2024.12.16 00.20,00.20,62
2024.12.16 00.20,00.20,67
2024.12.16 00.20,00.20,67
2024.12.16 00.20,00.20,67
2024.12.16 00.21,00.21,67
2024.12.16 00.21,00.21,67
2024.12.16 00.21,00.21,67
2024.12.16 00.21,00.21,67
2024.12.16 00.22,00.22,67
2024.12.16 00.22,00.22,67
2024.12.16 00.22,00.22,67
2024.12.16 00.22,00.22,67
2024.12.16 00.23,00.23,67
2024.12.16 00.23,00.23,58
2024.12.16 00.23,00.23,58
2024.12.16 00.23,00.23,58
2024.12.16 00.24,00.24,58
2024.12.16 00.24,00.24,56
2024.12.16 00.24,00.24,56
2024.12.16 00.24,00.24,56
2024.12.16 00.25,00.25,56
2024.12.16 00.25,00.25,57
2024.12.16 00.25,00.25,57
2024.12.16 00.25,00.25,57
2024.12.16 00.26,00.26,57
2024.12.16 00.26,00.26,54
2024.12.16 00.26,00.26,54
2024.12.16 00.26,00.26,54
2024.12.16 00.27,00.27,54
2024.12.16 00.27,00.27,53
2024.12.16 00.27,00.27,53
2024.12.16 00.27,00.27,53
2024.12.16 00.28,00.28,53
2024.12.16 00.28,00.28,54
2024.12.16 00.28,00.28,54
2024.12.16 00.28,00.28,54
2024.12.16 00.29,00.29,54
2024.12.16 00.29,00.29,54
2024.12.16 00.29,00.29,54
2024.12.16 00.29,00.29,54
2024.12.16 00.30,00.30,54
2024.12.16 00.30,00.30,54
2024.12.16 00.30,00.30,54
2024.12.16 00.30,00.30,54
2024.12.16 00.31,00.31,54
2024.12.16 00.31,00.31,62
2024.12.16 00.31,00.31,62
2024.12.16 00.31,00.31,62
2024.12.16 00.32,00.32,62
2024.12.16 00.32,00.32,61
2024.12.16 00.32,00.32,61
2024.12.16 00.32,00.32,61
2024.12.16 00.33,00.33,61
2024.12.16 00.33,00.33,53
2024.12.16 00.33,00.33,53
2024.12.16 00.33,00.33,53
2024.12.16 00.34,00.34,53
2024.12.16 00.34,00.34,55
2024.12.16 00.34,00.34,55
2024.12.16 00.34,00.34,55
2024.12.16 00.35,00.35,55
2024.12.16 00.35,00.35,52
2024.12.16 00.35,00.35,52
2024.12.16 00.35,00.35,52
2024.12.16 00.36,00.36,52
2024.12.16 00.36,00.36,55
2024.12.16 00.36,00.36,55
2024.12.16 00.36,00.36,55
2024.12.16 00.37,00.37,55
2024.12.16 00.37,00.37,52
2024.12.16 00.37,00.37,52
2024.12.16 00.37,00.37,52
2024.12.16 00.38,00.38,52
2024.12.16 00.38,00.38,53
2024.12.16 00.38,00.38,53
2024.12.16 00.38,00.38,53
2024.12.16 00.39,00.39,53
2024.12.16 00.39,00.39,56
2024.12.16 00.39,00.39,56
2024.12.16 00.39,00.39,56
2024.12.16 00.40,00.40,56
2024.12.16 00.40,00.40,54
2024.12.16 00.40,00.40,54
