Date,Time,Heart rate,Source
2025.10.14 00:00:00,00:00:00,51,com.garmin.android.apps.connectmobile
2025.10.14 00:02:00,00:02:00,56,com.garmin.android.apps.connectmobile
2025.10.14 00:04:00,00:04:00,55,com.garmin.android.apps.connectmobile
2025.10.14 00:06:00,00:06:00,55,com.garmin.android.apps.connectmobile
2025.10.14 00:08:00,00:08:00,54,com.garmin.android.apps.connectmobile
2025.10.14 00:10:00,00:10:00,54,com.garmin.android.apps.connectmobile
2025.10.14 00:12:00,00:12:00,54,com.garmin.android.apps.connectmobile
2025.10.14 00:14:00,00:14:00,56,com.garmin.android.apps.connectmobile
2025.10.14 00:16:00,00:16:00,55,com.garmin.android.apps.connectmobile
2025.10.14 00:18:00,00:18:00,55,com.garmin.android.apps.connectmobile
2025.10.14 00:20:00,00:20:00,57,com.garmin.android.apps.connectmobile
2025.10.14 00:22:00,00:22:00,65,com.garmin.android.apps.connectmobile
2025.10.14 00:24:00,00:24:00,67,com.garmin.android.apps.connectmobile
2025.10.14 00:26:00,00:26:00,64,com.garmin.android.apps.connectmobile
2025.10.14 00:28:00,00:28:00,76,com.garmin.android.apps.connectmobile
2025.10.14 00:30:00,00:30:00,82,com.garmin.android.apps.connectmobile
2025.10.14 00:32:00,00:32:00,67,com.garmin.android.apps.connectmobile
2025.10.14 00:34:00,00:34:00,64,com.garmin.android.apps.connectmobile
2025.10.14 00:36:00,00:36:00,75,com.garmin.android.apps.connectmobile
2025.10.14 00:38:00,00:38:00,64,com.garmin.android.apps.connectmobile
2025.10.14 00:40:00,00:40:00,60,com.garmin.android.apps.connectmobile
2025.10.14 00:42:00,00:42:00,71,com.garmin.android.apps.connectmobile
2025.10.14 00:44:00,00:44:00,59,com.garmin.android.apps.connectmobile
2025.10.14 00:46:00,00:46:00,74,com.garmin.android.apps.connectmobile
2025.10.14 00:48:00,00:48:00,79,com.garmin.android.apps.connectmobile
2025.10.14 00:50:00,00:50:00,79,com.garmin.android.apps.connectmobile
2025.10.14 00:52:00,00:52:00,69,com.garmin.android.apps.connectmobile
2025.10.14 00:54:00,00:54:00,63,com.garmin.android.apps.connectmobile
2025.10.14 00:56:00,00:56:00,55,com.garmin.android.apps.connectmobile
2025.10.14 00:58:00,00:58:00,63,com.garmin.android.apps.connectmobile
2025.10.14 01:00:00,01:00:00,64,com.garmin.android.apps.connectmobile
2025.10.14 01:02:00,01:02:00,66,com.garmin.android.apps.connectmobile
2025.10.14 01:04:00,01:04:00,64,com.garmin.android.apps.connectmobile
2025.10.14 01:06:00,01:06:00,61,com.garmin.android.apps.connectmobile
2025.10.14 01:08:00,01:08:00,63,com.garmin.android.apps.connectmobile
2025.10.14 01:10:00,01:10:00,61,com.garmin.android.apps.connectmobile
2025.10.14 01:12:00,01:12:00,63,com.garmin.android.apps.connectmobile
2025.10.14 01:14:00,01:14:00,58,com.garmin.android.apps.connectmobile
2025.10.14 01:16:00,01:16:00,59,com.garmin.android.apps.connectmobile
2025.10.14 01:18:00,01:18:00,65,com.garmin.android.apps.connectmobile
2025.10.14 01:20:00,01:20:00,82,com.garmin.android.apps.connectmobile
2025.10.14 01:22:00,01:22:00,79,com.garmin.android.apps.connectmobile
2025.10.14 01:24:00,01:24:00,70,com.garmin.android.apps.connectmobile
2025.10.14 01:26:00,01:26:00,75,com.garmin.android.apps.connectmobile
2025.10.14 01:28:00,01:28:00,69,com.garmin.android.apps.connectmobile
2025.10.14 01:30:00,01:30:00,60,com.garmin.android.apps.connectmobile
2025.10.14 01:32:00,01:32:00,62,com.garmin.android.apps.connectmobile
2025.10.14 01:34:00,01:34:00,61,com.garmin.android.apps.connectmobile
2025.10.14 01:36:00,01:36:00,73,com.garmin.android.apps.connectmobile
2025.10.14 01:38:00,01:38:00,62,com.garmin.android.apps.connectmobile
2025.10.14 01:40:00,01:40:00,57,com.garmin.android.apps.connectmobile
2025.10.14 01:42:00,01:42:00,50,com.garmin.android.apps.connectmobile
2025.10.14 01:44:00,01:44:00,52,com.garmin.android.apps.connectmobile
2025.10.14 01:46:00,01:46:00,56,com.garmin.android.apps.connectmobile
2025.10.14 01:48:00,01:48:00,51,com.garmin.android.apps.connectmobile
2025.10.14 01:50:00,01:50:00,54,com.garmin.android.apps.connectmobile
2025.10.14 01:52:00,01:52:00,57,com.garmin.android.apps.connectmobile
2025.10.14 01:54:00,01:54:00,50,com.garmin.android.apps.connectmobile
2025.10.14 01:56:00,01:56:00,51,com.garmin.android.apps.connectmobile
2025.10.14 01:58:00,01:58:00,52,com.garmin.android.apps.connectmobile
2025.10.14 02:00:00,02:00:00,50,com.garmin.android.apps.connectmobile
2025.10.14 02:02:00,02:02:00,49,com.garmin.android.apps.connectmobile
