Date,Time,Resting heart rate,Source
2025.10.22 05:28:32,05:28:32,46,com.garmin.android.apps.connectmobile
2025.10.23 07:45:08,07:45:08,48,com.garmin.android.apps.connectmobile
2025.10.24 07:53:31,07:53:31,46,com.garmin.android.apps.connectmobile
2025.10.25 06:46:06,06:46:06,47,com.garmin.android.apps.connectmobile
2025.10.26 07:51:36,07:51:36,46,com.garmin.android.apps.connectmobile
2025.10.27 09:03:43,09:03:43,47,com.garmin.android.apps.connectmobile
2025.10.28 06:59:33,06:59:33,45,com.garmin.android.apps.connectmobile
2025.10.29 04:42:50,04:42:50,45,com.garmin.android.apps.connectmobile
2025.10.30 07:01:05,07:01:05,49,com.garmin.android.apps.connectmobile
2025.10.31 06:45:05,06:45:05,47,com.garmin.android.apps.connectmobile
2025.11.01 03:13:50,03:13:50,48,com.garmin.android.apps.connectmobile
2025.11.02 01:00:00,01:00:00,46,nl.appyhapps.healthsync
2025.11.02 08:58:29,08:58:29,46,com.garmin.android.apps.connectmobile
2025.11.03 00:00:00,00:00:00,45,nl.appyhapps.healthsync
2025.11.03 06:53:48,06:53:48,45,com.garmin.android.apps.connectmobile
