Date,Time,Resting heart rate
2025.10.14 09:52:16,09:52:16,51
2025.10.15 04:58:16,04:58:16,49
2025.10.16 09:41:57,09:41:57,49
2025.10.17 03:24:14,03:24:14,50
2025.10.18 07:04:09,07:04:09,47
2025.10.19 04:58:01,04:58:01,48
2025.10.20 08:15:15,08:15:15,46
2025.10.21 08:20:55,08:20:55,49
2025.10.22 05:28:32,05:28:32,46
2025.10.23 07:45:08,07:45:08,48
2025.10.24 07:53:31,07:53:31,46
2025.10.25 06:46:06,06:46:06,47
2025.10.26 07:51:36,07:51:36,46
2025.10.27 09:03:43,09:03:43,47
2025.10.28 06:59:33,06:59:33,45
2025.10.29 04:42:50,04:42:50,45
2025.10.30 07:01:05,07:01:05,49
2025.10.31 06:45:05,06:45:05,47
