Date,Time,Respiration rate per minute
2024.11.18 00.00,00.00,12.85
2024.11.18 00.01,00.01,12.81
2024.11.18 00.02,00.02,12.88
2024.11.18 00.03,00.03,13.38
2024.11.18 00.04,00.04,13.8
2024.11.18 00.05,00.05,13.36
2024.11.18 00.06,00.06,13.24
2024.11.18 00.07,00.07,13.24
2024.11.18 00.09,00.09,13.08
2024.11.18 00.10,00.10,13.47
2024.11.18 00.11,00.11,13.35
2024.11.18 00.12,00.12,13.2
2024.11.18 00.13,00.13,12.89
2024.11.18 00.14,00.14,13.46
2024.11.18 00.15,00.15,15.17
2024.11.18 00.16,00.16,15.56
2024.11.18 00.17,00.17,14.11
2024.11.18 00.18,00.18,12.92
2024.11.18 00.19,00.19,13.34
2024.11.18 00.20,00.20,13.48
2024.11.18 00.21,00.21,13.32
2024.11.18 00.22,00.22,13.18
2024.11.18 00.23,00.23,13.23
2024.11.18 00.24,00.24,12.81
2024.11.18 00.25,00.25,12.15
2024.11.18 00.26,00.26,12.14
2024.11.18 00.27,00.27,12.44
2024.11.18 00.28,00.28,12.04
2024.11.18 00.29,00.29,12.53
2024.11.18 00.30,00.30,12.51
2024.11.18 00.31,00.31,13.28
2024.11.18 00.32,00.32,12.52
2024.11.18 00.33,00.33,12.69
2024.11.18 00.34,00.34,12.95
2024.11.18 00.35,00.35,12.43
2024.11.18 00.36,00.36,12.39
2024.11.18 00.37,00.37,12.41
2024.11.18 00.38,00.38,13.36
2024.11.18 00.39,00.39,14.15
2024.11.18 00.40,00.40,14.21
2024.11.18 00.41,00.41,14.11
2024.11.18 00.42,00.42,13.71
2024.11.18 00.43,00.43,13.4
2024.11.18 00.44,00.44,13.76
2024.11.18 00.45,00.45,14.05
2024.11.18 00.46,00.46,13.6
2024.11.18 00.47,00.47,13.22
2024.11.18 00.48,00.48,13.04
2024.11.18 00.49,00.49,12.97
2024.11.18 00.50,00.50,12.36
2024.11.18 00.51,00.51,12.81
2024.11.18 00.52,00.52,13.45
2024.11.18 00.53,00.53,13.44
2024.11.18 00.54,00.54,14.14
2024.11.18 00.55,00.55,16.5
2024.11.18 00.56,00.56,15.83
2024.11.18 00.57,00.57,16.59
2024.11.18 00.58,00.58,15.77
2024.11.18 00.59,00.59,16.07
2024.11.18 01.00,01.00,17.32
2024.11.18 01.01,01.01,17.85
2024.11.18 01.02,01.02,17.81
2024.11.18 01.03,01.03,18.15
2024.11.18 01.04,01.04,18.03
2024.11.18 01.05,01.05,18.65
2024.11.18 01.06,01.06,18.03
2024.11.18 01.07,01.07,16.77
2024.11.18 01.09,01.09,14.31
2024.11.18 01.10,01.10,15.6
2024.11.18 01.11,01.11,15.81
2024.11.18 01.12,01.12,14.62
2024.11.18 01.13,01.13,13.55
2024.11.18 01.14,01.14,13.52
2024.11.18 01.15,01.15,13.89
2024.11.18 01.16,01.16,12.85
2024.11.18 01.17,01.17,12.88
2024.11.18 01.18,01.18,14.82
2024.11.18 01.19,01.19,16.82
2024.11.18 01.20,01.20,17.27
2024.11.18 01.21,01.21,16.77
2024.11.18 01.22,01.22,16.55
2024.11.18 01.23,01.23,17.01
2024.11.18 01.24,01.24,17.26
2024.11.18 01.25,01.25,17.84
2024.11.18 01.26,01.26,18.11
2024.11.18 01.27,01.27,18.92
2024.11.18 01.28,01.28,19.17
2024.11.18 01.29,01.29,18.03
2024.11.18 01.31,01.31,13.41
2024.11.18 01.32,01.32,12.72
2024.11.18 01.33,01.33,13.09
2024.11.18 01.34,01.34,13.75
2024.11.18 01.35,01.35,13.0
2024.11.18 01.36,01.36,12.94
2024.11.18 01.37,01.37,12.81
2024.11.18 01.38,01.38,12.66
2024.11.18 01.39,01.39,13.2
2024.11.18 01.40,01.40,13.85
2024.11.18 01.41,01.41,14.04
2024.11.18 01.42,01.42,14.89
2024.11.18 01.43,01.43,15.14
2024.11.18 01.44,01.44,14.6
2024.11.18 01.45,01.45,13.74
2024.11.18 01.46,01.46,12.72
2024.11.18 01.47,01.47,12.93
2024.11.18 01.48,01.48,13.71
2024.11.18 01.49,01.49,13.99
2024.11.18 01.50,01.50,13.57
2024.11.18 01.51,01.51,13.19
2024.11.18 01.52,01.52,12.53
2024.11.18 01.53,01.53,12.56
2024.11.18 01.54,01.54,13.69
2024.11.18 01.55,01.55,14.06
2024.11.18 01.56,01.56,14.02
2024.11.18 01.57,01.57,14.36
2024.11.18 01.58,01.58,14.27
2024.11.18 01.59,01.59,13.61
2024.11.18 02.00,02.00,13.64
2024.11.18 02.01,02.01,13.79
2024.11.18 02.02,02.02,13.08
2024.11.18 02.03,02.03,12.58
2024.11.18 02.04,02.04,12.8
2024.11.18 02.05,02.05,11.99
2024.11.18 02.06,02.06,11.95
2024.11.18 02.07,02.07,12.04
2024.11.18 02.08,02.08,11.91
2024.11.18 02.09,02.09,12.3
2024.11.18 02.10,02.10,12.82
2024.11.18 02.11,02.11,13.17
2024.11.18 02.12,02.12,12.79
2024.11.18 02.13,02.13,12.87
2024.11.18 02.14,02.14,12.79
2024.11.18 02.15,02.15,12.64
2024.11.18 02.16,02.16,12.88
2024.11.18 02.17,02.17,14.24
2024.11.18 02.18,02.18,14.3
2024.11.18 02.19,02.19,13.53
2024.11.18 02.20,02.20,13.78
2024.11.18 02.21,02.21,14.43
2024.11.18 02.22,02.22,14.56
2024.11.18 02.23,02.23,13.91
2024.11.18 02.24,02.24,13.99
2024.11.18 02.25,02.25,13.99
2024.11.18 02.26,02.26,13.54
2024.11.18 02.27,02.27,14.03
2024.11.18 02.28,02.28,13.56
2024.11.18 02.29,02.29,11.84
2024.11.18 02.30,02.30,11.88
2024.11.18 02.31,02.31,12.04
2024.11.18 02.32,02.32,13.03
2024.11.18 02.33,02.33,13.25
2024.11.18 02.34,02.34,13.29
2024.11.18 02.35,02.35,13.08
2024.11.18 02.36,02.36,13.69
2024.11.18 02.37,02.37,14.37
2024.11.18 02.38,02.38,13.43
2024.11.18 02.39,02.39,13.25
2024.11.18 02.40,02.40,13.8
2024.11.18 02.41,02.41,13.99
2024.11.18 02.42,02.42,13.73
2024.11.18 02.43,02.43,13.62
2024.11.18 02.44,02.44,14.6
2024.11.18 02.45,02.45,18.24
2024.11.18 02.46,02.46,17.33
2024.11.18 02.47,02.47,16.22
2024.11.18 02.48,02.48,15.11
2024.11.18 02.49,02.49,15.62
2024.11.18 02.50,02.50,16.8
2024.11.18 02.51,02.51,15.42
2024.11.18 02.52,02.52,15.15
2024.11.18 02.53,02.53,15.23
2024.11.18 02.54,02.54,15.8
2024.11.18 02.55,02.55,19.36
2024.11.18 02.56,02.56,20.9
2024.11.18 02.57,02.57,21.28
2024.11.18 02.58,02.58,20.61
2024.11.18 02.59,02.59,19.96
2024.11.18 03.00,03.00,20.68
2024.11.18 03.01,03.01,20.29
2024.11.18 03.02,03.02,20.41
2024.11.18 03.03,03.03,19.96
2024.11.18 03.04,03.04,17.46
2024.11.18 03.05,03.05,17.57
2024.11.18 03.06,03.06,18.03
2024.11.18 03.07,03.07,17.89
2024.11.18 03.09,03.09,17.0
2024.11.18 03.10,03.10,15.61
2024.11.18 03.11,03.11,14.05
2024.11.18 03.12,03.12,13.24
2024.11.18 03.13,03.13,13.39
2024.11.18 03.14,03.14,12.75
2024.11.18 03.15,03.15,13.5
2024.11.18 03.16,03.16,13.94
2024.11.18 03.18,03.18,14.65
2024.11.18 03.19,03.19,13.69
2024.11.18 03.21,03.21,14.11
2024.11.18 03.22,03.22,12.87
2024.11.18 03.23,03.23,13.06
2024.11.18 03.24,03.24,12.81
2024.11.18 03.25,03.25,13.32
2024.11.18 03.26,03.26,13.86
2024.11.18 03.27,03.27,13.45
2024.11.18 03.28,03.28,12.96
2024.11.18 03.29,03.29,12.88
2024.11.18 03.30,03.30,12.17
2024.11.18 03.31,03.31,12.83
2024.11.18 03.32,03.32,13.12
2024.11.18 03.33,03.33,13.37
2024.11.18 03.34,03.34,13.03
2024.11.18 03.35,03.35,13.0
2024.11.18 03.36,03.36,13.58
2024.11.18 03.37,03.37,13.01
2024.11.18 03.38,03.38,13.46
2024.11.18 03.39,03.39,13.81
2024.11.18 03.40,03.40,13.41
2024.11.18 03.41,03.41,13.15
2024.11.18 03.42,03.42,13.53
2024.11.18 03.43,03.43,14.37
2024.11.18 03.44,03.44,14.73
2024.11.18 03.45,03.45,14.71
2024.11.18 03.46,03.46,15.45
2024.11.18 03.47,03.47,14.36
2024.11.18 03.48,03.48,12.78
2024.11.18 03.49,03.49,12.69
2024.11.18 03.50,03.50,12.15
2024.11.18 03.51,03.51,12.77
2024.11.18 03.52,03.52,12.68
2024.11.18 03.53,03.53,14.01
2024.11.18 03.54,03.54,14.17
2024.11.18 03.55,03.55,14.07
2024.11.18 03.56,03.56,14.48
2024.11.18 03.57,03.57,14.22
