Date,Time,Steps,Source
2024.11.07 05.30,05.30,127,nl.appyhapps.healthsync
2024.11.07 05.45,05.45,115,nl.appyhapps.healthsync
2024.11.07 06.00,06.00,128,nl.appyhapps.healthsync
2024.11.07 06.15,06.15,117,nl.appyhapps.healthsync
2024.11.07 06.30,06.30,107,nl.appyhapps.healthsync
2024.11.07 06.45,06.45,233,nl.appyhapps.healthsync
2024.11.07 07.00,07.00,193,nl.appyhapps.healthsync
2024.11.07 07.15,07.15,121,nl.appyhapps.healthsync
2024.11.07 07.30,07.30,242,nl.appyhapps.healthsync
2024.11.07 07.45,07.45,210,nl.appyhapps.healthsync
2024.11.07 08.00,08.00,340,nl.appyhapps.healthsync
2024.11.07 08.15,08.15,63,nl.appyhapps.healthsync
2024.11.07 08.45,08.45,20,nl.appyhapps.healthsync
2024.11.07 09.15,09.15,70,nl.appyhapps.healthsync
2024.11.07 09.30,09.30,101,nl.appyhapps.healthsync
2024.11.07 10.00,10.00,310,nl.appyhapps.healthsync
2024.11.07 10.15,10.15,11,nl.appyhapps.healthsync
2024.11.07 10.30,10.30,26,nl.appyhapps.healthsync
2024.11.07 10.45,10.45,134,nl.appyhapps.healthsync
2024.11.07 11.00,11.00,56,nl.appyhapps.healthsync
2024.11.07 11.30,11.30,413,nl.appyhapps.healthsync
2024.11.07 11.45,11.45,295,nl.appyhapps.healthsync
2024.11.07 12.15,12.15,216,nl.appyhapps.healthsync
2024.11.07 12.30,12.30,196,nl.appyhapps.healthsync
2024.11.07 13.30,13.30,23,nl.appyhapps.healthsync
2024.11.07 13.45,13.45,34,nl.appyhapps.healthsync
2024.11.07 14.45,14.45,230,nl.appyhapps.healthsync
2024.11.07 15.00,15.00,367,nl.appyhapps.healthsync
2024.11.07 15.15,15.15,237,nl.appyhapps.healthsync
2024.11.07 15.45,15.45,497,nl.appyhapps.healthsync
2024.11.07 16.00,16.00,172,nl.appyhapps.healthsync
2024.11.07 16.15,16.15,187,nl.appyhapps.healthsync
