Date,Time,Steps
2025.11.03 00:00:00,00:00:00,28
2025.11.03 00:01:00,00:01:00,14
2025.11.03 00:02:00,00:02:00,14
2025.11.03 00:15:00,00:15:00,50
2025.11.03 00:18:00,00:18:00,50
2025.11.03 02:30:00,02:30:00,56
2025.11.03 02:34:00,02:34:00,16
2025.11.03 02:35:00,02:35:00,15
2025.11.03 02:36:00,02:36:00,16
2025.11.03 02:38:00,02:38:00,9
2025.11.03 04:15:00,04:15:00,11
2025.11.03 04:26:00,04:26:00,11
2025.11.03 04:45:00,04:45:00,9
2025.11.03 04:49:00,04:49:00,9
2025.11.03 05:45:00,05:45:00,11
2025.11.03 05:58:00,05:58:00,11
2025.11.03 07:00:00,07:00:00,2
2025.11.03 07:00:00,07:00:00,67
2025.11.03 07:01:00,07:01:00,2
2025.11.03 07:02:00,07:02:00,2
2025.11.03 07:05:00,07:05:00,10
2025.11.03 07:11:00,07:11:00,26
2025.11.03 07:12:00,07:12:00,25
2025.11.03 07:15:00,07:15:00,256
2025.11.03 07:16:00,07:16:00,37
2025.11.03 07:17:00,07:17:00,37
2025.11.03 07:19:00,07:19:00,31
2025.11.03 07:23:00,07:23:00,25
2025.11.03 07:24:00,07:24:00,25
2025.11.03 07:25:00,07:25:00,26
2025.11.03 07:26:00,07:26:00,25
2025.11.03 07:27:00,07:27:00,25
2025.11.03 07:28:00,07:28:00,25
2025.11.03 07:30:00,07:30:00,301
2025.11.03 07:34:00,07:34:00,19
2025.11.03 07:38:00,07:38:00,40
2025.11.03 07:39:00,07:39:00,41
2025.11.03 07:40:00,07:40:00,40
2025.11.03 07:41:00,07:41:00,40
2025.11.03 07:42:00,07:42:00,40
2025.11.03 07:43:00,07:43:00,41
2025.11.03 07:44:00,07:44:00,40
2025.11.03 07:45:00,07:45:00,36
2025.11.03 07:52:00,07:52:00,6
2025.11.03 07:53:00,07:53:00,5
2025.11.03 07:59:00,07:59:00,25
2025.11.03 08:00:00,08:00:00,33
2025.11.03 08:00:00,08:00:00,114
2025.11.03 08:02:00,08:02:00,35
2025.11.03 08:03:00,08:03:00,35
2025.11.03 08:14:00,08:14:00,11
2025.11.03 08:15:00,08:15:00,8
2025.11.03 08:15:00,08:15:00,25
2025.11.03 08:18:00,08:18:00,17
2025.11.03 08:30:00,08:30:00,30
2025.11.03 08:32:00,08:32:00,21
2025.11.03 08:39:00,08:39:00,9
2025.11.03 08:45:00,08:45:00,191
2025.11.03 08:47:00,08:47:00,27
2025.11.03 08:48:00,08:48:00,27
2025.11.03 08:49:00,08:49:00,27
2025.11.03 08:50:00,08:50:00,27
2025.11.03 08:51:00,08:51:00,27
2025.11.03 08:52:00,08:52:00,27
2025.11.03 08:59:00,08:59:00,29
2025.11.03 09:00:00,09:00:00,92
2025.11.03 09:00:00,09:00:00,1195
2025.11.03 09:01:00,09:01:00,92
2025.11.03 09:02:00,09:02:00,92
2025.11.03 09:03:00,09:03:00,92
2025.11.03 09:04:00,09:04:00,92
2025.11.03 09:05:00,09:05:00,92
2025.11.03 09:06:00,09:06:00,91
2025.11.03 09:07:00,09:07:00,92
2025.11.03 09:08:00,09:08:00,92
2025.11.03 09:09:00,09:09:00,92
2025.11.03 09:10:00,09:10:00,92
2025.11.03 09:11:00,09:11:00,92
2025.11.03 09:12:00,09:12:00,92
2025.11.03 09:15:00,09:15:00,184
2025.11.03 09:16:00,09:16:00,31
2025.11.03 09:17:00,09:17:00,31
2025.11.03 09:18:00,09:18:00,31
2025.11.03 09:19:00,09:19:00,31
2025.11.03 09:22:00,09:22:00,60
2025.11.03 09:30:00,09:30:00,16
2025.11.03 09:41:00,09:41:00,16
2025.11.03 09:45:00,09:45:00,184
2025.11.03 09:51:00,09:51:00,37
2025.11.03 09:52:00,09:52:00,37
2025.11.03 09:53:00,09:53:00,36
2025.11.03 09:54:00,09:54:00,37
2025.11.03 09:55:00,09:55:00,37
2025.11.03 10:00:00,10:00:00,169
2025.11.03 10:02:00,10:02:00,17
2025.11.03 10:03:00,10:03:00,16
2025.11.03 10:06:00,10:06:00,9
2025.11.03 10:11:00,10:11:00,32
